Detector_type, Descriptor_type, ImgNumber, TTC_Lidar, TTC_Camera
FAST, BRISK,0, ,
FAST, BRISK,1,12.2891,12.551
FAST, BRISK,2,13.3547,12.8653
FAST, BRISK,3,16.3845,12.6318
FAST, BRISK,4,14.0764,12.469
FAST, BRISK,5,12.7299,12.2574
FAST, BRISK,6,13.7511,12.4972
FAST, BRISK,7,13.7314,13.248
FAST, BRISK,8,13.7901,12.0361
FAST, BRISK,9,12.059,13.3673
,,,,
FAST, BRIEF,0, ,
FAST, BRIEF,1,12.2891,11.6697
FAST, BRIEF,2,13.3547,12.0207
FAST, BRIEF,3,16.3845,13.7125
FAST, BRIEF,4,14.0764,12.2391
FAST, BRIEF,5,12.7299,14.3174
FAST, BRIEF,6,13.7511,11.6857
FAST, BRIEF,7,13.7314,13.0149
FAST, BRIEF,8,13.7901,12.551
FAST, BRIEF,9,12.059,13.2624
,,,,
FAST, ORB,0, ,
FAST, ORB,1,12.2891,12.5425
FAST, ORB,2,13.3547,12.5265
FAST, ORB,3,16.3845,13.7667
FAST, ORB,4,14.0764,12.5305
FAST, ORB,5,12.7299,13.1788
FAST, ORB,6,13.7511,12.7191
FAST, ORB,7,13.7314,12.9267
FAST, ORB,8,13.7901,11.5965
FAST, ORB,9,12.059,13.2766
,,,,
FAST, FREAK,0, ,
FAST, FREAK,1,12.2891,12.9991
FAST, FREAK,2,13.3547,12.093
FAST, FREAK,3,16.3845,14.6114
FAST, FREAK,4,14.0764,13.2747
FAST, FREAK,5,12.7299,12.7571
FAST, FREAK,6,13.7511,11.5572
FAST, FREAK,7,13.7314,13.0069
FAST, FREAK,8,13.7901,12.4742
FAST, FREAK,9,12.059,12.2995
,,,,
ORB, BRISK,0, ,
ORB, BRISK,1,12.2891,10.676
ORB, BRISK,2,13.3547,13.5068
ORB, BRISK,3,16.3845,11.2793
ORB, BRISK,4,14.0764,16.4892
ORB, BRISK,5,12.7299,41.3827
ORB, BRISK,6,13.7511,10.0536
ORB, BRISK,7,13.7314,27.9717
ORB, BRISK,8,13.7901,10.6652
ORB, BRISK,9,12.059,12.0094
,,,,
ORB, BRIEF,0, ,
ORB, BRIEF,1,12.2891,12.2865
ORB, BRIEF,2,13.3547,14.042
ORB, BRIEF,3,16.3845,19.9017
ORB, BRIEF,4,14.0764,15.639
ORB, BRIEF,5,12.7299,22.3972
ORB, BRIEF,6,13.7511,16.1922
ORB, BRIEF,7,13.7314,19.3349
ORB, BRIEF,8,13.7901,128.473
ORB, BRIEF,9,12.059,39.376
,,,,
ORB, ORB,0, ,
ORB, ORB,1,12.2891,19.0873
ORB, ORB,2,13.3547, -inf
ORB, ORB,3,16.3845,21.8644
ORB, ORB,4,14.0764,25.1199
ORB, ORB,5,12.7299,22.1464
ORB, ORB,6,13.7511, -inf
ORB, ORB,7,13.7314, -inf
ORB, ORB,8,13.7901,10.9391
ORB, ORB,9,12.059, -inf
,,,,
ORB, FREAK,0, ,
ORB, FREAK,1,12.2891,12.2074
ORB, FREAK,2,13.3547,11.1048
ORB, FREAK,3,16.3845,11.3288
ORB, FREAK,4,14.0764,12.5761
ORB, FREAK,5,12.7299,743.244
ORB, FREAK,6,13.7511,65.7468
ORB, FREAK,7,13.7314, -inf
ORB, FREAK,8,13.7901,12.6809
ORB, FREAK,9,12.059,30.3425
,,,,
AKAZE, BRISK,0, ,
AKAZE, BRISK,1,12.2891,11.8455
AKAZE, BRISK,2,13.3547,13.1113
AKAZE, BRISK,3,16.3845,13.0918
AKAZE, BRISK,4,14.0764,13.3027
AKAZE, BRISK,5,12.7299,13.1974
AKAZE, BRISK,6,13.7511,12.6651
AKAZE, BRISK,7,13.7314,15.6477
AKAZE, BRISK,8,13.7901,13.6024
AKAZE, BRISK,9,12.059,14.1673
,,,,
AKAZE, BRIEF,0, ,
AKAZE, BRIEF,1,12.2891,12.101
AKAZE, BRIEF,2,13.3547,13.519
AKAZE, BRIEF,3,16.3845,12.0061
AKAZE, BRIEF,4,14.0764,13.3839
AKAZE, BRIEF,5,12.7299,14.0406
AKAZE, BRIEF,6,13.7511,12.4618
AKAZE, BRIEF,7,13.7314,15.4674
AKAZE, BRIEF,8,13.7901,14.6608
AKAZE, BRIEF,9,12.059,12.5431
,,,,
AKAZE, ORB,0, ,
AKAZE, ORB,1,12.2891,11.6102
AKAZE, ORB,2,13.3547,13.5195
AKAZE, ORB,3,16.3845,12.745
AKAZE, ORB,4,14.0764,14.3365
AKAZE, ORB,5,12.7299,13.6303
AKAZE, ORB,6,13.7511,13.6516
AKAZE, ORB,7,13.7314,15.3947
AKAZE, ORB,8,13.7901,13.8281
AKAZE, ORB,9,12.059,12.7144
,,,,
AKAZE, FREAK,0, ,
AKAZE, FREAK,1,12.2891,11.5026
AKAZE, FREAK,2,13.3547,12.7074
AKAZE, FREAK,3,16.3845,12.827
AKAZE, FREAK,4,14.0764,13.9335
AKAZE, FREAK,5,12.7299,14.0043
AKAZE, FREAK,6,13.7511,14.025
AKAZE, FREAK,7,13.7314,15.3221
AKAZE, FREAK,8,13.7901,13.1172
AKAZE, FREAK,9,12.059,11.5627
,,,,
SHITOMASI, BRISK,0, ,
SHITOMASI, BRISK,1,12.2891,13.3689
SHITOMASI, BRISK,2,13.3547,13.0305
SHITOMASI, BRISK,3,16.3845,12.3202
SHITOMASI, BRISK,4,14.0764,12.7521
SHITOMASI, BRISK,5,12.7299,12.2747
SHITOMASI, BRISK,6,13.7511,13.7449
SHITOMASI, BRISK,7,13.7314,12.9
SHITOMASI, BRISK,8,13.7901,12.6218
SHITOMASI, BRISK,9,12.059,11.4559
,,,,
SHITOMASI, BRIEF,0, ,
SHITOMASI, BRIEF,1,12.2891,13.7746
SHITOMASI, BRIEF,2,13.3547,13.308
SHITOMASI, BRIEF,3,16.3845,11.3769
SHITOMASI, BRIEF,4,14.0764,13.0851
SHITOMASI, BRIEF,5,12.7299,12.3342
SHITOMASI, BRIEF,6,13.7511,13.0781
SHITOMASI, BRIEF,7,13.7314,14.6347
SHITOMASI, BRIEF,8,13.7901,11.7556
SHITOMASI, BRIEF,9,12.059,11.4926
,,,,
SHITOMASI, ORB,0, ,
SHITOMASI, ORB,1,12.2891,13.603
SHITOMASI, ORB,2,13.3547,13.2121
SHITOMASI, ORB,3,16.3845,12.884
SHITOMASI, ORB,4,14.0764,12.1046
SHITOMASI, ORB,5,12.7299,11.7035
SHITOMASI, ORB,6,13.7511,13.5266
SHITOMASI, ORB,7,13.7314,13.2491
SHITOMASI, ORB,8,13.7901,12.0155
SHITOMASI, ORB,9,12.059,11.3526
,,,,
SHITOMASI, FREAK,0, ,
SHITOMASI, FREAK,1,12.2891,13.7616
SHITOMASI, FREAK,2,13.3547,11.8519
SHITOMASI, FREAK,3,16.3845,11.4126
SHITOMASI, FREAK,4,14.0764,13.3479
SHITOMASI, FREAK,5,12.7299,11.6402
SHITOMASI, FREAK,6,13.7511,14.2385
SHITOMASI, FREAK,7,13.7314,12.6612
SHITOMASI, FREAK,8,13.7901,12.1048
SHITOMASI, FREAK,9,12.059,11.8703
,,,,
BRISK, BRISK,0, ,
BRISK, BRISK,1,12.2891,12.8659
BRISK, BRISK,2,13.3547,16.5957
BRISK, BRISK,3,16.3845,12.7803
BRISK, BRISK,4,14.0764,14.8405
BRISK, BRISK,5,12.7299,28.6365
BRISK, BRISK,6,13.7511,17.8323
BRISK, BRISK,7,13.7314,15.5593
BRISK, BRISK,8,13.7901,15.9199
BRISK, BRISK,9,12.059,13.9678
,,,,
BRISK, BRIEF,0, ,
BRISK, BRIEF,1,12.2891,10.1889
BRISK, BRIEF,2,13.3547,16.1327
BRISK, BRIEF,3,16.3845,11.5662
BRISK, BRIEF,4,14.0764,17.8398
BRISK, BRIEF,5,12.7299,20.4757
BRISK, BRIEF,6,13.7511,20.6042
BRISK, BRIEF,7,13.7314,14.0882
BRISK, BRIEF,8,13.7901,19.1151
BRISK, BRIEF,9,12.059,14.6993
,,,,
BRISK, ORB,0, ,
BRISK, ORB,1,12.2891,11.7327
BRISK, ORB,2,13.3547,15.829
BRISK, ORB,3,16.3845,14.2885
BRISK, ORB,4,14.0764,17.1298
BRISK, ORB,5,12.7299,23.8766
BRISK, ORB,6,13.7511,19.9254
BRISK, ORB,7,13.7314,12.1339
BRISK, ORB,8,13.7901,16.622
BRISK, ORB,9,12.059,15.1317
,,,,
BRISK, FREAK,0, ,
BRISK, FREAK,1,12.2891,11.2939
BRISK, FREAK,2,13.3547,19.6872
BRISK, FREAK,3,16.3845,12.2048
BRISK, FREAK,4,14.0764,14.8405
BRISK, FREAK,5,12.7299,19.9198
BRISK, FREAK,6,13.7511,23.0077
BRISK, FREAK,7,13.7314,12.0534
BRISK, FREAK,8,13.7901,15.3088
BRISK, FREAK,9,12.059,17.9749
